date,year,month,day,population,tot_case,Dose1_Complete,Series_Complete
2021-12-07,2021,12,7,334735155,48175811,233814206,197834545
2021-12-08,2021,12,8,334735155,48302297,234528258,198543411
2021-12-09,2021,12,9,334735155,48436806,234901280,198857290
2021-12-10,2021,12,10,334735155,48571088,235565630,199415578
2021-12-11,2021,12,11,334735155,48635008,236091293,199820225
2021-12-12,2021,12,12,334735155,48683927,236419568,200106869
2021-12-13,2021,12,13,334735155,48865604,236683897,200377031
2021-12-14,2021,12,14,334735155,48985866,236953984,200628128
2021-12-15,2021,12,15,334735155,49125470,237355790,200962523
2021-12-16,2021,12,16,334735155,49278316,237690828,201270070
2021-12-17,2021,12,17,334735155,49438991,238134775,201585509
2021-12-18,2021,12,18,334735155,49528230,238556187,201830457
2021-12-19,2021,12,19,334735155,49605953,238919385,202027794
2021-12-20,2021,12,20,334735155,49852707,239214182,202196074
2021-12-21,2021,12,21,334735155,50040023,238460015,202673858
2021-12-22,2021,12,22,334735155,50267063,238904959,202910974
2021-12-23,2021,12,23,334735155,50523112,238833298,202829227
2021-12-24,2021,12,24,334735155,50764197,239280741,203053190
2021-12-25,2021,12,25,334735155,50896578,239470991,203141453
2021-12-26,2021,12,26,334735155,51050838,239542313,203171860
2021-12-27,2021,12,27,334735155,51472970,239724000,203278517
2021-12-28,2021,12,28,334735155,51831783,240100018,203500194
2021-12-29,2021,12,29,334735155,52285522,240463453,203715132
2021-12-30,2021,12,30,334735155,52841268,240801287,203885364
2021-12-31,2021,12,31,334735155,53307534,241253617,204132229
2022-01-01,2022,1,1,334735155,53608223,241447328,204231096
2022-01-02,2022,1,2,334735155,53913525,241447328,204231096
2022-01-03,2022,1,3,334735155,54786193,241755310,204387472
2022-01-04,2022,1,4,334735155,55475153,242194024,204644878
2022-01-05,2022,1,5,334735155,56169587,242519891,204858336
2022-01-06,2022,1,6,334735155,56929730,242888886,205074172
2022-01-07,2022,1,7,334735155,57791837,243279095,205284614
2022-01-08,2022,1,8,334735155,58236278,243669060,205503586
2022-01-09,2022,1,9,334735155,58601280,244028021,205710462
2022-01-10,2022,1,10,334735155,59833001,244258504,205842215
2022-01-11,2022,1,11,334735155,60619722,244522207,205997887
2022-01-12,2022,1,12,334735155,61447545,244890892,206222962
2022-01-13,2022,1,13,334735155,62334955,245175535,206602379
2022-01-14,2022,1,14,334735155,63228666,245522078,206827087
2022-01-15,2022,1,15,334735155,63699597,245879997,207026958
2022-01-16,2022,1,16,334735155,64054752,246161912,207163377
2022-01-17,2022,1,17,334735155,65009433,246346984,207238119
2022-01-18,2022,1,18,334735155,65859609,246555971,207340263
2022-01-19,2022,1,19,334735155,66633428,248263633,208406703
2022-01-20,2022,1,20,334735155,67399323,248586645,208738394
2022-01-21,2022,1,21,334735155,68176205,248818757,208916443
2022-01-22,2022,1,22,334735155,68509969,249120769,209121633
2022-01-23,2022,1,23,334735155,68799992,249313958,209248869
2022-01-24,2022,1,24,334735155,69802869,249510516,209349828
2022-01-25,2022,1,25,334735155,70295322,249834045,209571237
2022-01-26,2022,1,26,334735155,70835985,250059647,209737624
2022-01-27,2022,1,27,334735155,71401923,247804459,210047193
2022-01-28,2022,1,28,334735155,71927163,248008003,210227451
2022-01-29,2022,1,29,334735155,72150285,248226418,210415278
2022-01-30,2022,1,30,334735155,72301531,248421664,210576020
2022-01-31,2022,1,31,334735155,72872184,248556819,210698733
2022-02-01,2022,2,1,334735155,73167878,248710073,210833523
2022-02-02,2022,2,2,334735155,73469229,248901938,211007988
2022-02-03,2022,2,3,334735155,73817275,249114584,211212196
2022-02-04,2022,2,4,334735155,74098397,249250414,211356222
2022-02-05,2022,2,5,334735155,74204038,249432644,211531546
2022-02-06,2022,2,6,334735155,74296445,249583313,211678703
2022-02-07,2022,2,7,334735155,74599766,249686605,211791258
2022-02-08,2022,2,8,334735155,74794453,249820490,211930774
2022-02-09,2022,2,9,334735155,74987381,249971325,212114434
2022-02-10,2022,2,10,334735155,75152827,250156439,212297274
2022-02-11,2022,2,11,334735155,75307703,250254866,212428576
2022-02-12,2022,2,12,334735155,75376042,250422911,212598621
2022-02-13,2022,2,13,334735155,75420959,250548428,212732837
2022-02-14,2022,2,14,334735155,75593787,250636929,212825315
2022-02-15,2022,2,15,334735155,75701401,250768916,212965500
2022-02-16,2022,2,16,334735155,75806434,250889211,213079182
2022-02-17,2022,2,17,334735155,75904389,251053525,213323836
2022-02-18,2022,2,18,334735155,76008456,251161494,213450336
2022-02-19,2022,2,19,334735155,76049814,251300328,213591544
2022-02-20,2022,2,20,334735155,76078949,251376243,213666224
2022-02-21,2022,2,21,334735155,76126292,251439613,213730187
2022-02-22,2022,2,22,334735155,76240801,251559560,213849999
2022-02-23,2022,2,23,334735155,76313534,251681954,213972274
2022-02-24,2022,2,24,334735155,76387302,251809076,214094364
2022-02-25,2022,2,25,334735155,76461932,251731910,214158297
2022-02-26,2022,2,26,334735155,76487980,251891406,214295019
2022-02-27,2022,2,27,334735155,76504365,251985028,214384352
2022-02-28,2022,2,28,334735155,76579746,252040363,214438263
2022-03-01,2022,3,1,334735155,76643245,252120091,214512386
2022-03-02,2022,3,2,334735155,76695262,252240949,214608568
2022-03-03,2022,3,3,334735155,76746288,252291964,214724713
2022-03-04,2022,3,4,334735155,76790829,252389923,214818089
2022-03-05,2022,3,5,334735155,76805485,252487093,214909227
2022-03-06,2022,3,6,334735155,76812405,252554744,214976589
2022-03-07,2022,3,7,334735155,76869273,252613670,215031409
2022-03-08,2022,3,8,334735155,76899773,252685571,215099678
2022-03-09,2022,3,9,334735155,76946070,252777122,215180747
2022-03-10,2022,3,10,334735155,76984450,252880397,215273740
2022-03-11,2022,3,11,334735155,77021207,252833333,215302503
2022-03-12,2022,3,12,334735155,77033493,252944226,215391938
2022-03-13,2022,3,13,334735155,77040991,253002481,215451303
2022-03-14,2022,3,14,334735155,77100741,253049569,215493530
2022-03-15,2022,3,15,334735155,77124278,253142236,215580851
2022-03-16,2022,3,16,334735155,77161596,253210541,215641944
2022-03-17,2022,3,17,334735155,77193834,253282290,215707914
2022-03-18,2022,3,18,334735155,77224831,253327206,215762731
2022-03-19,2022,3,19,334735155,77234963,253392062,215824453
2022-03-20,2022,3,20,334735155,77242632,253439324,215869168
2022-03-21,2022,3,21,334735155,77280679,253474401,215900797
2022-03-22,2022,3,22,334735155,77304137,253377231,215917499
