date,state,location,id,year,month,day,population,tot_case,tot_vaccine,covid_rate,avg_vaccine
2022-01-11,Ohio,OH,39,2022,1,11,11799448,2226881,16381335,0.1887275574247202,1.3883136736565982
2022-01-12,Ohio,OH,39,2022,1,12,11799448,2246974,16419073,0.19043043369486437,1.3915119588645164
2022-01-13,Ohio,OH,39,2022,1,13,11799448,2266236,16459851,0.1920628829416427,1.3949678832433516
2022-01-14,Ohio,OH,39,2022,1,14,11799448,2307691,16502071,0.19557618288584347,1.398546016728918
2022-01-15,Ohio,OH,39,2022,1,15,11799448,2357990,16541410,0.1998390094180677,1.4018799862502043
2022-01-16,Ohio,OH,39,2022,1,16,11799448,2384107,16578025,0.20205241804531873,1.4049830975143922
2022-01-17,Ohio,OH,39,2022,1,17,11799448,2403645,16610973,0.20370825821682506,1.4077754315286612
2022-01-18,Ohio,OH,39,2022,1,18,11799448,2418792,16625464,0.2049919623358652,1.4090035398266088
2022-01-19,Ohio,OH,39,2022,1,19,11799448,2439205,16645214,0.20672195851873748,1.4106773469402976
2022-01-20,Ohio,OH,39,2022,1,20,11799448,2460869,16673418,0.20855797661043127,1.4130676282483723
2022-01-21,Ohio,OH,39,2022,1,21,11799448,2480566,16705977,0.21022729198857437,1.4158269946187314
2022-01-22,Ohio,OH,39,2022,1,22,11799448,2496243,16733158,0.21155591346307048,1.4181305769558032
2022-01-23,Ohio,OH,39,2022,1,23,11799448,2506175,16763126,0.21239764775436953,1.4206703567827919
2022-01-24,Ohio,OH,39,2022,1,24,11799448,2515949,16781330,0.21322599158875907,1.422213140818113
2022-01-25,Ohio,OH,39,2022,1,25,11799448,2520112,16791835,0.21357880470340646,1.4231034367031408
2022-01-26,Ohio,OH,39,2022,1,26,11799448,2540864,16810942,0.2153375310438251,1.4247227497421913
2022-01-27,Ohio,OH,39,2022,1,27,11799448,2552972,16838849,0.21636368074167536,1.4270878603812653
2022-01-28,Ohio,OH,39,2022,1,28,11799448,2562412,16861805,0.21716371816715493,1.4290333751205988
2022-01-29,Ohio,OH,39,2022,1,29,11799448,2571021,16882110,0.21789332856926866,1.4307542183329254
2022-01-30,Ohio,OH,39,2022,1,30,11799448,2576245,16904644,0.21833606114455523,1.4326639686873488
2022-01-31,Ohio,OH,39,2022,1,31,11799448,2580405,16919888,0.21868862001002082,1.4339558935299346
2022-02-01,Ohio,OH,39,2022,2,1,11799448,2586903,16928018,0.2192393237378562,1.4346449088126834
2022-02-02,Ohio,OH,39,2022,2,2,11799448,2595504,16943151,0.21996825614215174,1.4359274264355417
2022-02-03,Ohio,OH,39,2022,2,3,11799448,2601241,16960842,0.22045446532753057,1.4374267338607705
2022-02-04,Ohio,OH,39,2022,2,4,11799448,2605245,16978008,0.22079380323554118,1.4388815476791796
2022-02-05,Ohio,OH,39,2022,2,5,11799448,2608055,16985616,0.221031949969185,1.4395263236042906
2022-02-06,Ohio,OH,39,2022,2,6,11799448,2610125,16992945,0.22120738190464503,1.440147454355492
2022-02-07,Ohio,OH,39,2022,2,7,11799448,2612719,17001254,0.22142722269719736,1.440851639839423
2022-02-08,Ohio,OH,39,2022,2,8,11799448,2617104,17007069,0.2217988502512999,1.4413444595035294
2022-02-09,Ohio,OH,39,2022,2,9,11799448,2621375,17017243,0.22216081633649304,1.442206703228829
2022-02-10,Ohio,OH,39,2022,2,10,11799448,2625551,17031220,0.22251473119759502,1.443391250166957
2022-02-11,Ohio,OH,39,2022,2,11,11799448,2628814,17046036,0.22279126955769457,1.444646902126269
2022-02-12,Ohio,OH,39,2022,2,12,11799448,2630846,17059775,0.22296348100351812,1.4458112786293054
2022-02-13,Ohio,OH,39,2022,2,13,11799448,2632336,17073846,0.22308975809715845,1.4470037920417973
2022-02-14,Ohio,OH,39,2022,2,14,11799448,2633648,17083928,0.22320094973934373,1.4478582387921877
2022-02-15,Ohio,OH,39,2022,2,15,11799448,2635769,17089855,0.22338070391089482,1.4483605504257486
2022-02-16,Ohio,OH,39,2022,2,16,11799448,2638202,17100753,0.22358689999735581,1.4492841529535958
2022-02-17,Ohio,OH,39,2022,2,17,11799448,2640201,17126534,0.2237563147021793,1.4514690856724823
2022-02-18,Ohio,OH,39,2022,2,18,11799448,2642330,17140296,0.22393674687154858,1.4526354114192461
2022-02-19,Ohio,OH,39,2022,2,19,11799448,2643929,17152418,0.2240722616854619,1.4536627476132782
2022-02-20,Ohio,OH,39,2022,2,20,11799448,2644828,17152535,0.22414845169028247,1.4536726633313695
2022-02-21,Ohio,OH,39,2022,2,21,11799448,2645679,17152535,0.22422057370819382,1.4536726633313695
2022-02-22,Ohio,OH,39,2022,2,22,11799448,2647048,17177562,0.2243365960848338,1.4557936947558903
2022-02-23,Ohio,OH,39,2022,2,23,11799448,2648371,17184968,0.22444871997401913,1.4564213512360917
